Lap,Driver,Team,Position,Gap,Tyre_Compound,Tyre_Age,Raw_Lap_Time_Sec,Formatted_Time,Status,Pit_Stops
0,HUL,Sober,5,6.0,Med,0.0,0.0,0:00.000,GRID,0
1,HUL,Sober,5,6.643028119823953,Med,1.0,85.655,1:25.655,HRV,0
2,HUL,Sober,5,7.508196737826864,Med,2.0,85.701,1:25.701,HRV,0
3,HUL,Sober,5,7.671233885109359,Med,3.0,84.692,1:24.692,BST,0
4,HUL,Sober,5,7.689121635175695,Med,4.0,84.148,1:24.148,BST,0
5,HUL,Sober,5,7.267844479102621,Med,5.0,84.666,1:24.666,BST,0
6,HUL,Sober,5,6.742882386656618,Med,6.0,84.249,1:24.249,BST,0
7,HUL,Sober,3,6.285481794192833,Med,7.0,84.669,1:24.669,BST,0
8,HUL,Sober,3,6.132409518817894,Med,8.0,85.197,1:25.197,STD,0
9,HUL,Sober,3,6.067025209089024,Med,9.0,85.485,1:25.485,STD,0
10,HUL,Sober,3,5.993984082128236,Med,10.0,84.985,1:24.985,BST,0
11,HUL,Sober,3,6.083248079398231,Med,11.0,86.291,1:26.291,STD,0
12,HUL,Sober,3,6.54579204627953,Med,12.0,85.998,1:25.998,STD,0
13,HUL,Sober,3,7.426760205119763,Med,13.0,86.217,1:26.217,STD,0
14,HUL,Sober,7,32.14489778346115,Hard,1,111.488,1:51.488,PIT,1
15,HUL,Sober,8,31.268951056839796,Hard,2,86.747,1:26.747,HRV,1
16,HUL,Sober,9,30.555332070363647,Hard,3,86.948,1:26.948,HRV,1
17,HUL,Sober,8,29.93451976497431,Hard,4,86.691,1:26.691,STD,1
18,HUL,Sober,7,29.030160056937575,Hard,5,86.726,1:26.726,HRV,1
19,HUL,Sober,7,25.505820320845487,Hard,6,85.706,1:25.706,BST,1
20,HUL,Sober,1,0.0,Hard,7,85.134,1:25.134,OVR,1
21,HUL,Sober,4,0.3467877979212517,Hard,8,87.041,1:27.041,HRV,1
22,HUL,Sober,2,0.10609101587738223,Hard,9,85.286,1:25.286,OVR,1
23,HUL,Sober,2,0.6024132506486239,Hard,10,86.801,1:26.801,HRV,1
24,HUL,Sober,4,1.6932880515041688,Hard,11,87.246,1:27.246,HRV,1
25,HUL,Sober,4,2.2584852375980518,Hard,12,87.085,1:27.085,HRV,1
26,HUL,Sober,4,2.4769300678149193,Hard,13,86.61,1:26.610,HRV,1
27,HUL,Sober,4,1.8931970027042553,Hard,14,86.151,1:26.151,BST,1
28,HUL,Sober,3,0.8331825939862938,Hard,15,85.419,1:25.419,OVR,1
29,HUL,Sober,3,1.4224617672807653,Hard,16,87.428,1:27.428,HRV,1
30,HUL,Sober,5,25.889747950983747,Hard,1,111.245,1:51.245,PIT,2
31,HUL,Sober,6,25.7503955204279,Hard,2,87.145,1:27.145,HRV,2
32,HUL,Sober,3,23.934272662522744,Hard,3,84.687,1:24.687,OVR,2
33,HUL,Sober,3,23.604386910206813,Hard,4,86.303,1:26.303,STD,2
34,HUL,Sober,3,23.881757828986792,Hard,5,86.427,1:26.427,STD,2
35,HUL,Sober,3,23.6246763460108,Hard,6,85.835,1:25.835,STD,2
36,HUL,Sober,3,22.918402919226082,Hard,7,86.461,1:26.461,STD,2
37,HUL,Sober,3,22.482402712878866,Hard,8,85.828,1:25.828,STD,2
38,HUL,Sober,3,22.118758787208662,Hard,9,86.098,1:26.098,STD,2
39,HUL,Sober,3,21.984157472208608,Hard,10,86.918,1:26.918,HRV,2
40,HUL,Sober,3,22.540654913078015,Hard,11,87.328,1:27.328,HRV,2
41,HUL,Sober,3,21.67199981395197,Hard,12,86.756,1:26.756,HRV,2
42,HUL,Sober,3,19.642834678288636,Hard,13,85.622,1:25.622,BST,2
43,HUL,Sober,3,19.070697656828997,Hard,14,86.922,1:26.922,HRV,2
44,HUL,Sober,2,16.871937077864914,Hard,15,86.127,1:26.127,BST,2
45,HUL,Sober,2,13.75140763527861,Hard,16,85.995,1:25.995,BST,2
46,HUL,Sober,2,10.007287960529993,Hard,17,85.725,1:25.725,BST,2
47,HUL,Sober,2,6.575590248310618,Hard,18,86.229,1:26.229,BST,2
48,HUL,Sober,2,3.497186252597203,Hard,19,86.569,1:26.569,BST,2
49,HUL,Sober,2,1.352749006518934,Hard,20,86.796,1:26.796,BST,2
50,HUL,Sober,1,0.0,Hard,21,87.608,1:27.608,STD,2
51,HUL,Sober,1,0.0,Hard,22,88.152,1:28.152,HRV,2
52,HUL,Sober,1,0.0,Hard,23,88.177,1:28.177,STD,2
53,HUL,Sober,1,0.0,Hard,24,88.38,1:28.380,STD,2
54,HUL,Sober,1,0.0,Hard,25,88.098,1:28.098,BST,2
55,HUL,Sober,1,0.0,Hard,26,87.781,1:27.781,BST,2
56,HUL,Sober,1,0.0,Hard,27,88.245,1:28.245,BST,2
57,HUL,Sober,1,0.0,Hard,28,89.474,1:29.474,HRV,2
58,HUL,Sober,1,0.0,Hard,29,88.562,1:28.562,BST,2
59,HUL,Sober,1,0.0,Hard,30,89.778,1:29.778,STD,2
60,HUL,Sober,1,0.0,Hard,31,90.403,1:30.403,STD,2
0,RUS,Merciless,6,7.5,Med,0.0,0.0,0:00.000,GRID,0
1,RUS,Merciless,6,8.178550454356014,Med,1.0,85.691,1:25.691,HRV,0
2,RUS,Merciless,6,8.955138155670681,Med,2.0,85.612,1:25.612,HRV,0
3,RUS,Merciless,6,8.816491540686116,Med,3.0,84.391,1:24.391,BST,0
4,RUS,Merciless,6,9.363918722213782,Med,4.0,84.677,1:24.677,BST,0
5,RUS,Merciless,6,8.808419099725597,Med,5.0,84.532,1:24.532,BST,0
6,RUS,Merciless,6,8.53594596043905,Med,6.0,84.501,1:24.501,BST,0
7,RUS,Merciless,4,8.210588491908766,Med,7.0,84.801,1:24.801,BST,0
8,RUS,Merciless,4,7.721687493490776,Med,8.0,84.862,1:24.862,BST,0
9,RUS,Merciless,4,7.5122772642436075,Med,9.0,85.341,1:25.341,STD,0
10,RUS,Merciless,4,7.978754220606788,Med,10.0,85.524,1:25.524,STD,0
11,RUS,Merciless,4,7.29876499647321,Med,11.0,85.522,1:25.522,STD,0
12,RUS,Merciless,4,7.681029240568478,Med,12.0,85.918,1:25.918,STD,0
13,RUS,Merciless,4,8.589781990144274,Med,13.0,86.245,1:26.245,STD,0
14,RUS,Merciless,9,32.75941448351,Hard,1,110.94,1:50.940,PIT,1
15,RUS,Merciless,10,31.768148849615045,Hard,2,86.632,1:26.632,STD,1
16,RUS,Merciless,7,30.43391258617544,Hard,3,86.327,1:26.327,STD,1
17,RUS,Merciless,7,29.256325386760864,Hard,4,86.134,1:26.134,STD,1
18,RUS,Merciless,6,27.732550197224327,Hard,5,86.106,1:26.106,STD,1
19,RUS,Merciless,5,24.542636939132308,Hard,6,86.041,1:26.041,STD,1
20,RUS,Merciless,5,0.5699111715234721,Hard,7,86.667,1:26.667,HRV,1
21,RUS,Merciless,3,0.34168377864261856,Hard,8,86.466,1:26.466,OVR,1
22,RUS,Merciless,1,0.0,Hard,9,85.185,1:25.185,OVR,1
23,RUS,Merciless,1,0.0,Hard,10,86.305,1:26.305,STD,1
24,RUS,Merciless,1,0.0,Hard,11,86.155,1:26.155,STD,1
25,RUS,Merciless,1,0.0,Hard,12,86.52,1:26.520,STD,1
26,RUS,Merciless,1,0.0,Hard,13,86.391,1:26.391,STD,1
27,RUS,Merciless,1,0.0,Hard,14,86.735,1:26.735,STD,1
28,RUS,Merciless,1,0.0,Hard,15,86.479,1:26.479,STD,1
29,RUS,Merciless,1,0.0,Hard,16,86.838,1:26.838,STD,1
30,RUS,Merciless,1,0.0,Hard,17,86.778,1:26.778,STD,1
31,RUS,Merciless,1,0.0,Hard,18,87.284,1:27.284,HRV,1
32,RUS,Merciless,1,0.0,Hard,19,86.503,1:26.503,BST,1
33,RUS,Merciless,1,0.0,Hard,20,86.633,1:26.633,BST,1
34,RUS,Merciless,2,1.8755576218422902,Hard,21,88.025,1:28.025,HRV,1
35,RUS,Merciless,2,2.790560432890743,Hard,22,87.007,1:27.007,BST,1
36,RUS,Merciless,2,3.0421398489761486,Hard,23,87.419,1:27.419,BST,1
37,RUS,Merciless,2,4.2770601701436135,Hard,24,87.499,1:27.499,BST,1
38,RUS,Merciless,2,5.845446981060377,Hard,25,88.03,1:28.030,BST,1
39,RUS,Merciless,2,6.77402974989991,Hard,26,87.981,1:27.981,BST,1
40,RUS,Merciless,2,9.182904519793283,Hard,27,89.18,1:29.180,STD,1
41,RUS,Merciless,2,10.591384167693377,Hard,28,89.033,1:29.033,STD,1
42,RUS,Merciless,2,12.514296238421139,Hard,29,89.574,1:29.574,STD,1
43,RUS,Merciless,2,14.68100143331867,Hard,30,89.661,1:29.661,STD,1
44,RUS,Merciless,3,16.878849331956644,Hard,31,90.523,1:30.523,STD,1
45,RUS,Merciless,4,39.07838575045207,Hard,1,111.315,1:51.315,PIT,2
46,RUS,Merciless,4,36.11973161610467,Hard,2,86.511,1:26.511,HRV,2
47,RUS,Merciless,4,32.78295068697207,Hard,3,86.324,1:26.324,STD,2
48,RUS,Merciless,3,29.82957247804552,Hard,4,86.695,1:26.695,STD,2
49,RUS,Merciless,3,27.134917804693032,Hard,5,86.246,1:26.246,STD,2
50,RUS,Merciless,3,24.943883019892382,Hard,6,86.77,1:26.770,HRV,2
51,RUS,Merciless,3,22.336362245979217,Hard,7,85.544,1:25.544,BST,2
52,RUS,Merciless,3,19.72487642188935,Hard,8,85.566,1:25.566,BST,2
53,RUS,Merciless,3,18.119465072431012,Hard,9,86.774,1:26.774,HRV,2
54,RUS,Merciless,3,15.692021687688793,Hard,10,85.67,1:25.670,BST,2
55,RUS,Merciless,2,14.380314171650753,Hard,11,86.47,1:26.470,STD,2
56,RUS,Merciless,2,12.483939484075563,Hard,12,86.349,1:26.349,STD,2
57,RUS,Merciless,2,9.430473319657722,Hard,13,86.421,1:26.421,STD,2
58,RUS,Merciless,2,7.117438019290603,Hard,14,86.249,1:26.249,STD,2
59,RUS,Merciless,2,3.7948186211560824,Hard,15,86.456,1:26.456,STD,2
60,RUS,Merciless,2,0.15693220813955122,Hard,16,86.766,1:26.766,STD,2
0,ALB,Billiams,2,1.5,Med,0.0,0.0,0:00.000,GRID,0
1,ALB,Billiams,2,0.7394737810605818,Med,1.0,84.252,1:24.252,BST,0
2,ALB,Billiams,2,0.03204517707439436,Med,2.0,84.128,1:24.128,OVR,0
3,ALB,Billiams,2,0.09999999999999432,Med,3.0,84.597,1:24.597,OVR,0
4,ALB,Billiams,1,0.0,Med,4.0,84.03,1:24.030,OVR,0
5,ALB,Billiams,1,0.0,Med,5.0,85.088,1:25.088,STD,0
6,ALB,Billiams,2,0.2656045649997054,Med,6.0,85.039,1:25.039,STD,0
